Matricula,Data_Inicio,Hora_Inicio,Cod_Jogo,Nivel_Jogo,Fase_Jogo,Etapa_Jogo,Tipo_AEEJ,Cod_AEEJ,AEEJ_1,AEEJ_2,AEEJ_3,N_Sequencial,Data_Termino,Hora_Termino,Arquivo_Imagem
12345,2017-10-24,21:11,123456,1,1,1,1,931,333,264,0,1,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,55,86,0,2,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,51,78,0,3,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,51,78,0,4,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,48,565,0,5,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,48,567,0,6,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,301,353,0,7,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,310,329,0,8,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,333,264,0,1,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,55,86,0,2,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,51,78,0,3,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,51,78,0,4,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,48,565,0,5,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,48,567,0,6,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,301,353,0,7,2017-10-24,21:11,
12345,2017-10-24,21:11,123456,1,1,1,1,931,310,329,0,8,2017-10-24,21:11,
151515,2017-10-24,21:11,123456,1,1,1,1,931,502,354,0,1,2017-10-24,21:11,
151515,2017-10-24,21:11,123456,1,1,1,1,931,502,354,0,2,2017-10-24,21:11,
151515,2017-10-24,21:11,123456,1,1,1,1,931,333,255,0,3,2017-10-24,21:11,
